id,proba,label
15740,0.05232008546590805,0
38794,0.8898841738700867,1
60792,0.10113660246133804,0
71824,0.09254036098718643,0
4796,0.8247455358505249,1
75310,0.26613491773605347,0
63425,0.83614581823349,1
72360,0.9234179854393005,1
17203,0.3662874698638916,0
76803,0.5420965552330017,1
96013,0.3361271321773529,0
78093,0.8547288179397583,1
8179,0.8644027709960938,1
60425,0.7170510292053223,1
68439,0.22195123136043549,0
93602,0.28339946269989014,0
30941,0.4966849088668823,0
13782,0.6570361852645874,1
38902,0.12811800837516785,0
42698,0.28553086519241333,0
71840,0.38336020708084106,0
24890,0.4714007079601288,0
74863,0.41751599311828613,0
9257,0.2363673448562622,0
50921,0.05460575222969055,0
3218,0.13983775675296783,0
20396,0.12095703929662704,0
74895,0.2590849995613098,0
32489,0.5151325464248657,1
2937,0.11697913706302643,0
51379,0.3984978497028351,0
54701,0.4719727635383606,0
32198,0.5927844643592834,1
86423,0.21476878225803375,0
52809,0.7851252555847168,1
60158,0.38031092286109924,0
60589,0.3590681254863739,0
43186,0.46423032879829407,0
50498,0.08804793655872345,0
21658,0.47318363189697266,0
96371,0.6713656187057495,1
49873,0.6181035041809082,1
6738,0.2980060279369354,0
19870,0.37867939472198486,0
59604,0.3470638692378998,0
49306,0.8634705543518066,1
8679,0.23222695291042328,0
10536,0.22692245244979858,0
34571,0.12943075597286224,0
40596,0.7885351181030273,1
8245,0.2823128402233124,0
4567,0.40762588381767273,0
60837,0.7378925681114197,1
4851,0.4171358048915863,0
59482,0.026744700968265533,0
74308,0.21360984444618225,0
12945,0.29758042097091675,0
86302,0.5189104676246643,1
70341,0.17459556460380554,0
42609,0.2162654995918274,0
73964,0.27140992879867554,0
59120,0.1515789031982422,0
24560,0.5606895685195923,1
67209,0.9085436463356018,1
64019,0.785074770450592,1
8612,0.18265104293823242,0
43925,0.20877070724964142,0
49713,0.11675950884819031,0
28069,0.10975519567728043,0
78259,0.504777729511261,1
60278,0.21645045280456543,0
62038,0.4371528625488281,0
60534,0.6527307033538818,1
79160,0.5977222323417664,1
17094,0.16245408356189728,0
32698,0.3444380760192871,0
38601,0.24026210606098175,0
49580,0.8643211722373962,1
52804,0.7177276015281677,1
32904,0.27051904797554016,0
12804,0.0640932247042656,0
38125,0.6257278919219971,1
28164,0.30953940749168396,0
93756,0.7262077331542969,1
27103,0.20329353213310242,0
31482,0.3764928877353668,0
68759,0.5458106994628906,1
69743,0.07465121150016785,0
36047,0.28053027391433716,0
52179,0.5369135141372681,1
18953,0.2746638357639313,0
8673,0.6086688041687012,1
36927,0.40861305594444275,0
72398,0.866659939289093,1
86259,0.25433486700057983,0
3742,0.498290091753006,0
23765,0.9468990564346313,1
35079,0.49879077076911926,0
70394,0.9225649237632751,1
30519,0.6507482528686523,1
69514,0.29979875683784485,0
41082,0.38935714960098267,0
51389,0.5709068179130554,1
58317,0.5879527926445007,1
38569,0.16943277418613434,0
34568,0.7211495637893677,1
79132,0.7047483325004578,1
76019,0.5896955728530884,1
67015,0.5391830205917358,1
34218,0.19312267005443573,0
48016,0.729769229888916,1
29348,0.6057724356651306,1
89701,0.9036729335784912,1
25896,0.19855892658233643,0
68457,0.7938581705093384,1
3485,0.5662272572517395,1
36752,0.9655872583389282,1
51670,0.4857240915298462,0
45367,0.14919723570346832,0
30894,0.4332667589187622,0
53021,0.6804243922233582,1
54738,0.8660106658935547,1
41627,0.4779728353023529,0
21654,0.6928046941757202,1
32149,0.7669102549552917,1
57846,0.25021713972091675,0
68510,0.45313000679016113,0
29035,0.6744037866592407,1
76598,0.26547959446907043,0
78263,0.70632004737854,1
56243,0.14240571856498718,0
63582,0.7633285522460938,1
60182,0.4936339855194092,0
67518,0.3011053800582886,0
34762,0.2549828588962555,0
58412,0.10504040122032166,0
36104,0.9067311882972717,1
61759,0.15514697134494781,0
47026,0.40033650398254395,0
79142,0.27168092131614685,0
51368,0.6370471119880676,1
15392,0.21268312633037567,0
86930,0.21361102163791656,0
28364,0.5009027123451233,1
96451,0.36907801032066345,0
91570,0.21570520102977753,0
17340,0.26966655254364014,0
1762,0.09598890691995621,0
30915,0.2046826183795929,0
92864,0.17955265939235687,0
92108,0.35726237297058105,0
96057,0.44880807399749756,0
27096,0.6735706925392151,1
46802,0.3722127377986908,0
23879,0.2532384693622589,0
4687,0.47717586159706116,0
82574,0.6052564978599548,1
86320,0.6498569250106812,1
74365,0.457412987947464,0
49127,0.10903507471084595,0
70653,0.3760611116886139,0
4638,0.3235214054584503,0
98310,0.14305740594863892,0
37824,0.636012852191925,1
1562,0.3196657598018646,0
15324,0.5182344913482666,1
8697,0.41372349858283997,0
85796,0.6731573343276978,1
95203,0.6435804963111877,1
75014,0.24241024255752563,0
69875,0.07043289393186569,0
6453,0.43237969279289246,0
95213,0.9488255977630615,1
8269,0.6358449459075928,1
25641,0.570967972278595,1
54982,0.37222737073898315,0
32809,0.39979881048202515,0
72481,0.2843499183654785,0
2567,0.6109973788261414,1
24517,0.07198631018400192,0
81239,0.3268984854221344,0
91625,0.9616796970367432,1
29637,0.6336873769760132,1
90451,0.10191517323255539,0
12493,0.295707106590271,0
48629,0.031094316393136978,0
46035,0.6168687343597412,1
58437,0.5732771754264832,1
91487,0.27097588777542114,0
98015,0.2094240039587021,0
31672,0.3251972198486328,0
